checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,total_books,genre,pages,publication_year,publisher,title,author
9263.0,1047,517,2024-10-21,2024-11-07,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,16.0,Mystery,338,2015.0,Delta House,Shadows on the Corniche,Hani Nagati
9340.0,1072,513,2025-08-24,2025-09-01,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,Science,294,2021.0,Oasis Books,Circuits for Beginners,Galal Mounir
9231.0,1053,523,2024-02-04,2024-02-16,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5.0,Historical,276,2018.0,Oasis Books,Footsteps in the Dust,Laila Shokry
9129.0,1032,513,2025-06-21,2025-06-29,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6.0,Science,294,2021.0,Oasis Books,Circuits for Beginners,Galal Mounir
9370.0,1079,511,2025-11-11,2025-12-03,Rana,Osman,8.0,Shubra,Active,2024-10-27,10.0,Historical,117,2016.0,Nile Press,Winter in Alexandria,Farida Anwar
9082.0,1010,528,2025-11-11,2025-11-18,Nour,Nabil,6.0,Maadi,Active,2024-05-15,18.0,Nature,114,2010.0,Delta House,The Glass Beehive,Mona Kholoussy
9238.0,1057,513,2024-03-28,2024-04-08,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,10.0,Science,294,2021.0,Oasis Books,Circuits for Beginners,Galal Mounir
9012.0,1010,501,2025-02-17,,Nour,Nabil,6.0,Maadi,Active,2024-05-15,18.0,Adventure,128,2017.0,Nile Press,The Silver Kite,Amina Darwish
9127.0,1024,506,2025-06-13,,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,17.0,Friendship,183,,Nile Press,The Paper Boat Club,Aya Hafez
9020.0,1016,506,2024-04-15,2024-05-04,Dina,Rashad,8.0,Maadi,Active,2023-04-24,7.0,Friendship,183,,Nile Press,The Paper Boat Club,Aya Hafez
9208.0,1044,525,2024-07-10,2024-08-01,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,21.0,Adventure,297,2015.0,Oasis Books,Storms and Sailboats,Mahmoud Rafei
9319.0,1065,515,2025-02-10,2025-02-21,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,Poetry,316,2022.0,Cairo Young Readers,Songs of the Oasis,Hoda Bakry
9097.0,1018,501,2025-10-05,2025-10-14,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,Adventure,128,2017.0,Nile Press,The Silver Kite,Amina Darwish
9137.0,1041,519,2025-07-27,2025-08-05,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,2.0,Friendship,157,2014.0,Nile Press,Kites Over Cairo,Jasmine Wahdan
9157.0,1032,525,2024-03-04,2024-04-03,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6.0,Adventure,297,2015.0,Oasis Books,Storms and Sailboats,Mahmoud Rafei
9383.0,1070,501,2024-07-11,2024-07-31,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,3.0,Adventure,128,2017.0,Nile Press,The Silver Kite,Amina Darwish
9131.0,1034,505,2025-12-16,2025-12-25,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25.0,Historical,216,2024.0,Oasis Books,Letters to the Nile,Aya Hafez
9113.0,1027,507,2024-06-26,2024-07-08,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18.0,Science,160,2024.0,Nile Press,Fossils and Fireflies,Dalia Serry
9144.0,1024,501,2025-11-07,2025-11-25,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,17.0,Adventure,128,2017.0,Nile Press,The Silver Kite,Amina Darwish
9005.0,1008,513,2025-04-20,2025-04-29,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,19.0,Science,294,2021.0,Oasis Books,Circuits for Beginners,Galal Mounir
9272.0,1044,518,2025-01-24,2025-02-04,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,21.0,Adventure,163,2011.0,Delta House,The Ninth Lighthouse,Hani Nagati
9283.0,1072,513,2025-09-17,2025-09-25,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14.0,Science,294,2021.0,Oasis Books,Circuits for Beginners,Galal Mounir
9030.0,1018,507,2025-03-09,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,Science,160,2024.0,Nile Press,Fossils and Fireflies,Dalia Serry
9291.0,1065,526,2024-03-25,2024-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17.0,Science Fiction,125,2016.0,Delta House,The Clockwork Orchard,Mahmoud Rafei
9369.0,1076,501,2025-06-05,,Dina,Wahba,7.0,Shubra,Active,2025-12-13,7.0,Adventure,128,2017.0,Nile Press,The Silver Kite,Amina Darwish
9225.0,1059,516,2025-08-06,2025-08-22,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7.0,Nature,241,2010.0,Nile Press,The Beekeeper's Almanac,Hoda Bakry
9256.0,1059,521,2025-07-09,,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7.0,Science,211,2024.0,Cairo Young Readers,A Garden of Equations,Karim Elwy
9234.0,1053,525,2024-02-13,2024-03-06,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5.0,Adventure,297,2015.0,Oasis Books,Storms and Sailboats,Mahmoud Rafei
9152.0,1030,525,2025-01-03,,Reem,Osman,,Nasr City,Active,2025-04-01,16.0,Adventure,297,2015.0,Oasis Books,Storms and Sailboats,Mahmoud Rafei
9063.0,1018,515,2024-10-22,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17.0,Poetry,316,2022.0,Cairo Young Readers,Songs of the Oasis,Hoda Bakry
9161.0,1040,519,2025-10-11,2025-11-01,Dina,Adel,9.0,Nasr City,Active,2025-12-26,2.0,Friendship,157,2014.0,Nile Press,Kites Over Cairo,Jasmine Wahdan
